「実験心理学の父」と呼ばれるドイツ人心理学者。内観法を重視した。,ヴィルヘルム・ヴント,
心理学において、心や精神の働きを自己観察すること、またその方法。行動主義に対する。,内観（法）,
刺激に対して頭や目を向けようとする定位反応（定位反射）を示すことを利用して、視線の動きや注視の時間などから、視覚・色覚や興味・関心などを測定する実験方法。新生児・乳児や動物などの心理テストが難しい被験者に対して用いられる。,選好注視法（PL法）,
乳児の視力を測る際に使われる視力の一種。白黒の縞模様を細かくしていくと灰色と見分けがつかなくなることを利用し、そのときの目の動きを観察することによって視力を測定する。,縞視力,
突然の新奇な刺激が与えられたときに，動物がすばやく頭と目をその刺激源に向けること。,定位反応,
心理学において、 ある刺激がくり返し提示されることによって、その刺激に対する反応が徐徐に見られなくなっていく現象を指す言葉。この後に新たな刺激が与えられ反応が復活することは「脱―」という。,馴化,
口に入ってきたものを強く吸う、原始反射の一つ。生後半年程度で消失する。探索反射、嚥下反射などと合わせて哺乳反射と呼ばれる。,吸啜（きゅうてつ）反射,
特定の個人や事象について，具体的な出来事，特質をよく表すエピソードなどを日常的な観察や聞き語りに基づいて収集し，記録していく方法。ダーウィンによる『人間と動物の表情』などが有名。,逸話法,
「ある行動がより低次の心的能力の行使の結果であると解釈できる場合は，その行動をより高次の心的能力の行使の結果であると解釈するべきではない」とする動物行動の解釈における倹約の原則。逸話法を非難し、後の行動主義へとつながっていった。,モーガンの公準,
ドイツの動物学者ワイスマンが主張した、生物の偶発的な遺伝的変異に自然淘汰が作用して進化が起きるという学説。獲得形質の遺伝を否定した。,ネオ・ダーウィニズム,
後天性遺伝形質とも。生物個体が一生の間に、環境の影響や鍛錬によって獲得した形質。,獲得形質,
「ある生物が普段よく使う器官や機能がより発達し、反対にあまり使わない器官や機能は縮小していく。子孫にもその形質が受け継がれる」とする学説。フランスの博物学者ラマルクの著書『動物哲学』で主張されたが、現在では否定されている。,用不用説,
植物の発育段階説や春化処理を研究したソ連の生物学者。環境の操作により植物の遺伝性を後天的に変化させ得るという学説を唱え、反対派のメンデル遺伝学者を追放する論争を巻き起こしたが、のちに否定され失脚した。,トロフィム・ルイセンコ,
ヤロビザーツィヤ，バーナリゼーションとも。植物の生長期に低温の時期を与えることによって、花芽の形成を促進する方法。秋まき小麦の種子を低温にさらすと、春にまいても収穫ができる。ソ連のルイセンコによって提唱された。,春化処理,
「モビール」を発明した、アメリカの彫刻家。,アレクサンダー・カルダー（コールダー）,
ダーウィンの従兄弟であるイギリスの遺伝学者ゴルトンによって創始された、人類の遺伝的構成の改善を目指して劣悪な遺伝形質の淘汰、優良な遺伝形質の保存・増加について研究する学問。,優生学,
人類が飢餓との戦いの歴史において獲得したと考えられている、太りやすさや肥満のタイプを左右する遺伝子。,倹約遺伝子,
ミルクに含まれる糖質である乳糖をグルコースとガラクトースに分解する乳糖分解酵素（ラクターゼ）の活性が低下しているために、乳糖を消化吸収できず、著しい下痢や体重増加不良をきたす疾患。,乳糖不耐症,
狭義には動物心理学と同義である。いろいろな生物の行動について，その差異と類似の関係を研究し，その発生機構に至るまで明らかにしようとする心理学の一分野。,比較心理学,
「必要なしに多くのものを定立してはならない」という原則。14世紀のとある哲学者が議論で多用した。,オッカムの剃刀,
アメリカの心理学者。客観的観察の対象にならない意識は科学的心理学の枠内から追放されるべきだと主張し、行動主義心理学を創始した。アルバート坊やに対する恐怖条件づけの実験でも知られる。,ジョン・ワトソン,
学習が刺激と反応の結合によって成立するという行動主義心理学の理論。,ＳＲ説,
学習は環境内の刺激を構造的に把握したり、新しい意味づけをすることによって成立し、強化を必要条件とはしないとする心理学説。,SS説（sign-significate theory）,
消化管の生理学的研究で 1904年にノーベル生理学・医学賞を受賞したソ連の科学者。犬にベルの音を聞かせながら餌を与えることを繰り返すと、餌を与えなくてもベルの音を鳴らすだけで犬がヨダレをたらすようになる、という条件反射の実験を行ったことで有名。,イワン・パブロフ,
パブロフの犬に代表される。刺激と刺激を時間的に接近させて呈示することによって、その関係を学習させる条件づけの方法。「古典的条件付け」とも。,レスポンデント条件づけ,
動物が実験的に設定した状況下で異常行動を示すこと。刺激差異を狭小にして弁別が困難な状況となった場合や、報酬が期待される状況が遅延禁止されたり、罰に置換されたりする場合に生じる。,実験神経症,
ソーンダイクの「猫の問題箱」に代表される。生体が環境に対する反応のうち，ある特定の反応にだけ強化刺激 (たとえば食物) を伴わせて，その反応をほかに比べて生起しやすくする過程，またはその手続。「道具的条件付け」とも。,オペラント条件づけ,
アメリカの心理学者。空腹の猫を問題箱（紐を引くなどすると脱出できる）に閉じ込めて外に餌を置き、試行錯誤によって偶然脱出できることを繰り返すと、次第に脱出成功までの時間が短くなっていく、ということを示したオペラント条件付けの実験で有名。,エドワード・ソーンダイク,
新行動主義を代表するアメリカの心理学者が考案した、オペラント学習実験の装置。箱内壁に梃子があり動物がそれを操作すると餌が自動的に出てくる構造になっている。,スキナー箱,
ベートーヴェンやブルックナーなどのように、交響曲を作曲していると、ある番号の制作前後で死んでしまうというジンクス。マーラーはこれを恐れ、作曲したものを交響曲と認めず、代わりに『大地の歌』と名づけたとされる。,第九の呪い,
